index	city	company_name	duration	frequency	job	job_link	salary
403	宁波	我武生物	12个月	5天/周	医药销售代表（奉化）	https://www.shixiseng.com/intern/inn_vplibz1v381v?pcm=pc_SearchList	100-150/天
404	上海	链家	4天/周	7天/周	销售顾问	https://www.shixiseng.com/intern/inn_ow9nbvrzppkv?pcm=pc_SearchList	300-300/天
405	湖州	我武生物	5天/周	3个月	HRBP（上海/浙江）	https://www.shixiseng.com/intern/inn_lopqjckbkr03?pcm=pc_SearchList	100-200/天
406	上海	我武生物	5天/周	3个月	生物制药研发实习生（上海）	https://www.shixiseng.com/intern/inn_vqurxiia01ph?pcm=pc_SearchList	100-200/天
407	北京	方引网校	5天/周	11个月	储备主管	https://www.shixiseng.com/intern/inn_wk3krrlbodee?pcm=pc_SearchList	120-200/天
408	武汉	考满分	5天/周	4个月	辅导老师实习生	https://www.shixiseng.com/intern/inn_f4fz7c7cvugk?pcm=pc_SearchList	100-100/天
409	湘潭	我武生物	5天/周	12个月	医药销售代表—湘潭	https://www.shixiseng.com/intern/inn_qxafgjpvfrc6?pcm=pc_SearchList	100-150/天
410	西安	普仕英才	6天/周	3个月	咨询助理	https://www.shixiseng.com/intern/inn_awsyw40730ql?pcm=pc_SearchList	100-120/天
411	北京	北京链家	5天/周	3个月	房地产职业经理实习生	https://www.shixiseng.com/intern/inn_lyeh0nxkoblz?pcm=pc_SearchList	200-400/天
412	上海	龙旗	5天/周	1个月	散热实习生（20届）J12452	https://www.shixiseng.com/intern/inn_lo6gn2ru6m1l?pcm=pc_SearchList	436-551/天
413	西安	募格网络科技	5天/周	3个月	英语翻译实习生	https://www.shixiseng.com/intern/inn_7doleg3mj16q?pcm=pc_SearchList	80-100/天
414	广州	中国人寿	5天/周	3个月	管培生	https://www.shixiseng.com/intern/inn_5bvayah7miit?pcm=pc_SearchList	100-200/天
415	北京	SenseTime商汤科技	5天/周	3个月	容器云平台实习生	https://www.shixiseng.com/intern/inn_seprutwzm0ib?pcm=pc_SearchList	250-300/天
416	北京	网易	5天/周	3个月	算法实习生（大数据方向）	https://www.shixiseng.com/intern/inn_ryt3xsskctdk?pcm=pc_SearchList	150-200/天
